folio,CPTUtility_225,CPTUtility_100,CPTUtility_150,crraUtility_1,crraUtility_2,crraUtility_3,crraUtility_5,quadUtility_1,quadUtility_2,quadUtility_3,quadUtility_5
148,-0.014459419,0.004833815,-0.002883479,0.984432098,-0.373651364,-0.069807671,-0.004873111,0.005368057,0.004984677,0.004601296,0.003834534
149,-0.006347264,0.003618552,-0.000367774,0.80222328,-0.44833109,-0.100500383,-0.010100327,0.004369478,0.004275436,0.004181395,0.003993311
150,-0.016678526,0.003563249,-0.004533461,1.026045742,-0.358421453,-0.064232969,-0.004125874,0.005597979,0.005202175,0.004806372,0.004014764
151,-0.007156172,0.004233679,-0.000322261,0.773643552,-0.461329126,-0.106412281,-0.011323574,0.00421232,0.004076695,0.003941071,0.003669822
152,-0.017461333,0.00285645,-0.005270663,0.937801002,-0.39148777,-0.076631337,-0.005872362,0.005113484,0.004711682,0.00430988,0.003506275
153,-0.008110481,0.004538341,-0.000521188,0.971720297,-0.378431463,-0.071605186,-0.005127303,0.005296493,0.005115225,0.004933957,0.004571422
154,-0.012701003,0.001567113,-0.004140133,0.78995052,-0.453867252,-0.102997741,-0.010608535,0.00430436,0.004106218,0.003908076,0.003511793
155,-0.010518846,0.001098049,-0.003548709,0.710288064,-0.491502593,-0.120787399,-0.014589596,0.003867963,0.003750668,0.003633374,0.003398784
156,-0.009202525,0.003333076,-0.001681164,0.808454136,-0.445546288,-0.099255747,-0.009851703,0.004403552,0.004264617,0.004125683,0.003847813
157,-0.026785425,-0.000575042,-0.011059195,0.716356347,-0.488529047,-0.119330315,-0.014239724,0.003903409,0.003338634,0.002773858,0.001644307
158,-0.011564751,0.003706549,-0.002401971,0.947627486,-0.387659661,-0.075140007,-0.005646021,0.005165315,0.004930583,0.004695851,0.004226386
159,-0.019200199,0.006581483,-0.00373119,1.253537176,-0.285493169,-0.040753175,-0.001660821,0.006847755,0.006122601,0.005397446,0.003947138
160,-0.011932336,0.003087204,-0.002920612,0.845176743,-0.429481444,-0.092227155,-0.008505848,0.004606514,0.00438531,0.004164107,0.0037217
161,-0.010986028,0.003261818,-0.00243732,0.916292541,-0.399999276,-0.079999711,-0.006399954,0.004993427,0.004789267,0.004585107,0.004176786
162,-0.022367456,0.005954625,-0.005374208,1.200333388,-0.301093814,-0.045328742,-0.002054695,0.006561535,0.005679514,0.004797492,0.003033449
163,-0.012793915,0.003149639,-0.003227782,0.829768296,-0.436150332,-0.095113556,-0.009046589,0.00452212,0.00422094,0.00391976,0.0033174
164,-0.004718479,0.004388801,0.000745889,0.890721575,-0.410359541,-0.084197476,-0.007089215,0.004852794,0.004759942,0.004667091,0.004481389
165,-0.013347457,0.000468063,-0.005058145,0.535118636,-0.585599813,-0.17146357,-0.029399756,0.002912883,0.002763667,0.002614451,0.002316019
166,-0.014049354,0.003272228,-0.003656405,0.978849513,-0.375743138,-0.070591453,-0.004983153,0.005337902,0.005045011,0.004752119,0.004166337
167,-0.007837307,0.002287077,-0.001762676,0.744343706,-0.475045967,-0.112834336,-0.012731587,0.004054037,0.00395612,0.003858204,0.00366237
168,-0.013279256,0.003680411,-0.003103456,0.726594885,-0.483552742,-0.116911627,-0.013668329,0.003961624,0.003579762,0.003197901,0.002434178
169,-0.008587624,0.002390462,-0.002000772,0.706096425,-0.493567118,-0.12180425,-0.014836275,0.003845049,0.003743438,0.003641827,0.003438605
170,-0.009811077,0.003440071,-0.001860388,1.040726565,-0.353197968,-0.062374402,-0.003890566,0.005676667,0.005472755,0.005268844,0.00486102
